category,subcategory,activity_amount,activity_unit,true_emission_factor,calculated_carbon_kg,noisy_carbon_kg,data_source,uncertainty
Transportation,gasoline_car,47.75606588439596,mile,0.404,19.293450617295967,20.74319993091886,EPA,7.514204391842886
Transportation,gasoline_car,295.5404605535839,mile,0.404,119.3983460636479,124.14080088923924,EPA,3.971960233907485
Transportation,gasoline_car,153.20716281727522,mile,0.404,61.895693778179194,63.13035035903091,EPA,1.9947374453487223
Transportation,gasoline_car,164.09087161782986,mile,0.404,66.29271213360327,63.89938692261351,EPA,3.6102387939210696
Transportation,gasoline_car,232.38277638408937,mile,0.404,93.88264165917211,84.69364183925674,EPA,9.787751662628704
Transportation,gasoline_car,154.9708849548267,mile,0.404,62.608237521749984,57.159783253921894,EPA,8.702455912347489
Transportation,gasoline_car,499.3455462657622,mile,0.404,201.73560069136795,213.48963780002273,EPA,5.826456544294875
Transportation,gasoline_car,290.65043860469245,mile,0.404,117.42277719629575,116.6913779449979,EPA,0.6228768121155727
Transportation,gasoline_car,168.77284483814861,mile,0.404,68.18422931461204,64.02492115002387,EPA,6.100102921742372
Transportation,gasoline_car,161.39030028718673,mile,0.404,65.20168131602344,63.83384642369617,EPA,2.097852179144832
Transportation,gasoline_car,88.76860026490192,mile,0.404,35.86251450702038,36.30903268489514,EPA,1.2450832966198044
Transportation,gasoline_car,226.38600445773812,mile,0.404,91.4599458009262,89.72082472652363,EPA,1.9015111578876136
Transportation,gasoline_car,299.80522129656583,mile,0.404,121.1213094038126,114.0817264246811,EPA,5.81201030089749
Transportation,gasoline_car,70.23469358302395,mile,0.404,28.37481620754168,27.78857547112944,EPA,2.066060030571842
Transportation,gasoline_car,298.34969075979194,mile,0.404,120.53327506695595,123.69991322398941,EPA,2.627190006472819
Transportation,gasoline_car,174.9572117017606,mile,0.404,70.68271352751128,75.59742116878218,EPA,6.95319604468493
Transportation,gasoline_car,220.1834866235532,mile,0.404,88.95412859591549,94.29628358878387,EPA,6.005516637834468
Transportation,gasoline_car,220.76759267456032,mile,0.404,89.19010744052237,90.95554120261559,EPA,1.9794053541986452
Transportation,gasoline_car,456.9088892153016,mile,0.404,184.59119124298186,193.78435189916394,EPA,4.980281341854982
Transportation,gasoline_car,212.31512854804822,mile,0.404,85.77531193341149,78.33585795593972,EPA,8.67318790195379
Transportation,gasoline_car,153.4440871520661,mile,0.404,61.9914112094347,55.9504390606733,EPA,9.744853409373599
Transportation,gasoline_car,159.70920736398293,mile,0.404,64.5225197750491,67.28204846066133,EPA,4.276845813264931
Transportation,gasoline_car,491.2559898483243,mile,0.404,198.46741989872302,189.91550837332852,EPA,4.308975009479391
Transportation,gasoline_car,243.98157132420098,mile,0.404,98.5685548149772,99.86093606363917,EPA,1.3111496370093827
Transportation,gasoline_car,326.76264932824034,mile,0.404,132.0121103286091,123.62544851576955,EPA,6.352948825651825
Transportation,gasoline_car,36.172802251004676,mile,0.404,14.61381210940589,13.19896663071528,EPA,9.681563360048766
Transportation,gasoline_car,213.1847878041761,mile,0.404,86.12665427288715,83.52618250329313,EPA,3.019357702383961
Transportation,gasoline_car,405.02938480335797,mile,0.404,163.63187146055662,168.44174294051143,EPA,2.939446598650083
Transportation,gasoline_car,109.64413236564332,mile,0.404,44.296229475719905,42.16849672015281,EPA,4.80341731282878
Transportation,gasoline_car,403.19951609714883,mile,0.404,162.89260450324815,170.38060066825733,EPA,4.596891422937414
Transportation,gasoline_car,398.2463676674288,mile,0.404,160.89153253764124,168.27463481877842,EPA,4.588869385907476
Transportation,gasoline_car,12.986309780164465,mile,0.404,5.246469151186444,5.373788544157717,EPA,2.426763396530809
Transportation,gasoline_car,141.9033472232272,mile,0.404,57.32895227818379,60.72936421338005,EPA,5.9314042906210025
Transportation,gasoline_car,179.308202202813,mile,0.404,72.44051368993645,76.72795353847224,EPA,5.918566324483975
Transportation,gasoline_car,456.01214795379997,mile,0.404,184.2289077733352,195.18631193367116,EPA,5.9477116228780575
Transportation,gasoline_car,407.1085337685295,mile,0.404,164.47184764248593,169.29598408104647,EPA,2.9331077067041993
Transportation,gasoline_car,17.227686761267194,mile,0.404,6.959985451551947,7.5342625209198495,EPA,8.251124565782675
Transportation,gasoline_car,365.4449508824416,mile,0.404,147.6397601565064,161.13708082220373,EPA,9.142063527730878
Transportation,gasoline_car,135.59844923522576,mile,0.404,54.78177349103121,51.92815184534391,EPA,5.209071309373525
Transportation,gasoline_car,190.37611520379735,mile,0.404,76.91195054233414,81.38261919636699,EPA,5.812710017765169
Transportation,gasoline_car,291.3676410297487,mile,0.404,117.71252697601848,112.90217472758478,EPA,4.086525344421255
Transportation,gasoline_car,289.6040282260921,mile,0.404,117.00002740334122,110.18603430955802,EPA,5.823924357122507
Transportation,gasoline_car,184.65799154955417,mile,0.404,74.60182858601989,81.30210918289417,EPA,8.981389228480504
Transportation,gasoline_car,80.5221112520653,mile,0.404,32.53093294583439,33.38951083603132,EPA,2.6392661151972128
Transportation,gasoline_car,337.3922975558545,mile,0.404,136.30648821256523,145.25092316757053,EPA,6.562002346547708
Transportation,gasoline_car,159.17403948025566,mile,0.404,64.30631195002329,68.50746152022231,EPA,6.533028318377229
Transportation,gasoline_car,197.93558539633725,mile,0.404,79.96597650012025,80.77792025615214,EPA,1.0153615219476164
Transportation,gasoline_car,380.2937620478924,mile,0.404,153.63867986734854,140.00636638813504,EPA,8.872969678588511
Transportation,gasoline_car,415.66186853196683,mile,0.404,167.9273948869146,175.17227408894217,EPA,4.314292618489316
Transportation,gasoline_car,473.37243343063034,mile,0.404,191.24246310597468,178.39698146989235,EPA,6.7168564070230365
Transportation,gasoline_car,463.0352480259048,mile,0.404,187.06624020246556,182.9460409958935,EPA,2.202534889305891
Transportation,gasoline_car,133.97019439909394,mile,0.404,54.12395853723395,49.37489997712537,EPA,8.774410978904152
Transportation,gasoline_car,187.47045686884582,mile,0.404,75.73806457501371,73.19137803321115,EPA,3.3624922370180554
Transportation,gasoline_car,247.04563082086347,mile,0.404,99.80643485162885,90.97985632293056,EPA,8.84369684361513
Transportation,gasoline_car,33.908357148087745,mile,0.404,13.69897628782745,13.02382349351154,EPA,4.928490860414398
Transportation,gasoline_car,392.1302086966309,mile,0.404,158.4206043134389,172.2680135313216,EPA,8.740914275573191
Transportation,gasoline_car,322.0329089280915,mile,0.404,130.10129520694898,118.35316454931339,EPA,9.029987471645166
Transportation,gasoline_car,486.44509408586924,mile,0.404,196.52381801069117,187.9500591460924,EPA,4.362707254207908
Transportation,gasoline_car,449.7382047484411,mile,0.404,181.6942347183702,181.17857803267813,EPA,0.2838046493282285
Transportation,gasoline_car,451.4518335520389,mile,0.404,182.38654075502373,179.47391390465418,EPA,1.5969527347315084
Transportation,gasoline_car,159.8135313899408,mile,0.404,64.5646666815361,61.81026276504255,EPA,4.266116527913921
Transportation,gasoline_car,232.83274998912162,mile,0.404,94.06443099560514,95.10476702858152,EPA,1.1059823803377822
Transportation,gasoline_car,42.79840558465931,mile,0.404,17.29055585620236,18.05430296107853,EPA,4.417134482129467
Transportation,gasoline_car,349.97582258968106,mile,0.404,141.39023232623114,142.19106585169303,EPA,0.5663994692462994
Transportation,gasoline_car,63.49171454718409,mile,0.404,25.650652677062375,23.09743304245429,EPA,9.953819369638316
Transportation,gasoline_car,254.37211059976246,mile,0.404,102.76633268230404,96.2088746856003,EPA,6.380939968905692
Transportation,gasoline_car,330.14591658863316,mile,0.404,133.3789503018078,144.16503288283567,EPA,8.086795222650418
Transportation,gasoline_car,405.7040988365474,mile,0.404,163.90445592996517,159.76934017922633,EPA,2.522881838249553
Transportation,gasoline_car,221.48454049523224,mile,0.404,89.47975436007383,85.18834469716127,EPA,4.795956016646597
Transportation,gasoline_car,125.83301845585586,mile,0.404,50.836539456165774,55.32502842110832,EPA,8.829257484791592
