id,description,amount,category,merchant,carbon_kg,date,confidence
0,Duke Energy #8543 TX,284.64,Energy,Duke Energy,116.23,2025-03-16,0.7681000582411576
1,Whole Foods #3968,145.87,Food,Whole Foods,50.03,2025-06-02,0.9290186046752062
2,ConEd Utility #2096,61.27,Energy,ConEd Utility,21.17,2025-01-23,0.8831453791944402
3,Uber #4396,156.51,Transportation,Uber,139.39,2024-11-02,0.9466326868147898
4,Uber #2129 CA,88.45,Transportation,Uber,60.91,2025-03-18,0.9121703263453971
5,Lyft #6118 NY,187.81,Transportation,Lyft,177.43,2024-11-13,0.7363562405772012
6,Best Buy #5388,257.82,Shopping,Best Buy,48.87,2025-04-16,0.7346814407642938
7,Target #1728,168.73,Shopping,Target,28.1,2024-09-27,0.961796159060313
8,Shell Gas Station #8445,54.71,Transportation,Shell Gas Station,44.49,2025-04-23,0.7503244157884532
9,Spotify #5847 CA,87.63,Entertainment,Spotify,10.46,2025-02-16,0.8482828087844912
10,Target #4197,192.43,Shopping,Target,45.86,2024-08-18,0.9747573375984095
11,ConEd Utility #6054,53.54,Energy,ConEd Utility,21.15,2024-07-04,0.9415745087108038
12,Shell Gas Station #5277,98.44,Transportation,Shell Gas Station,63.64,2025-05-04,0.932091971070875
13,Spotify #4624,68.72,Entertainment,Spotify,6.26,2024-07-13,0.817313251211219
14,Whole Foods #2983,116.44,Food,Whole Foods,32.49,2024-12-17,0.8225965969044173
15,McDonalds #7440 TX,26.84,Food,McDonalds,8.73,2024-10-30,0.8232072700414804
16,ConEd Utility #7110,169.07,Energy,ConEd Utility,66.08,2024-10-28,0.70795016136401
17,Delta Airlines #1063 NY,114.86,Transportation,Delta Airlines,93.74,2024-10-26,0.8814716493960638
18,Best Buy #3780,499.1,Shopping,Best Buy,88.79,2024-08-31,0.9376802699961001
19,Uber #5313 CA,89.58,Transportation,Uber,75.36,2024-10-15,0.9899635173847006
20,Netflix #4915,14.87,Entertainment,Netflix,1.46,2024-11-25,0.9084336261645994
21,Subway #2983 CA,33.96,Food,Subway,11.31,2024-07-17,0.8891230178546512
22,Target #2011 NY,385.42,Shopping,Target,62.78,2025-03-26,0.7558791485265074
23,Whole Foods #1494,48.55,Food,Whole Foods,16.48,2025-05-16,0.8092318180212971
24,Chevron #9323 NY,115.71,Transportation,Chevron,83.44,2024-11-19,0.7715486475967066
25,Netflix #7442,45.9,Entertainment,Netflix,4.81,2024-11-22,0.936298721121736
26,Spotify #4396 TX,52.24,Entertainment,Spotify,4.99,2025-02-10,0.7103552170562781
27,AMC Theaters #9567,77.32,Entertainment,AMC Theaters,7.89,2024-07-10,0.8271678183532711
28,Starbucks #3893,42.78,Food,Starbucks,15.25,2024-07-12,0.7593204749921324
